Transcript/Line,Time,Speech,,
160211,,,,
70,(0:14:20),Do you think we should go ahead intubate him?,,
71,(0:14:21),Probably we should go intubate him,,
72,(0:14:22),"We should go intubate him. We're presuming there's a head injury, anesthesia. What would you like",,
,,,,
100,(0:17:29),Do we tube him first?,,
101,(0:17:30),Tube him first yeah yeah tube him,,
102,(0:17:31),We'll intubate him and then we're gonna move directly to head CT and then maybe check with our survey,,
103,(0:17:36),No I have not,,
104,(0:17:41),"We'll survey while there intubating, just to make sure they know what there injury is",,
,,,,
107,(0:18:02),Tell us when you're ready to intubate him,,
108,(0:18:10),Okay so we're gonna go ahead intubate him and then we're gonna move him to head CT. I'm gonna call neuro surgery,,
,,,,
126,(0:20:39),Suction and [atomizer?] are both in,,
127,(0:20:43),Suction and [automadate?] in,,
,,,,
133,(0:21:08),What size tube did you put in?,,
,,,,
157,(0:23:16),And where is he taped?,,
158,(0:23:26),Where's his tube taped?,,
159,(0:23:28),Fifteen and a half,,
160,(0:23:29),Thank you,,
161,(0:23:30),The [bin and?] title for the two tubes,,
,,,,
,,,,
170407,,,,
13,0:07:10,"Alright airway, patient's intubated, breath sounds are clear bilaterally",,
,,,,
,,,,
161202,,,,
32,0:05:44,"Please secure the airway --, can we proceed with intubation, we don't need meds to facilitate this",,
,,,,
108,0:09:12,"Okay, do I have some-",Request,
109,0:09:15,And anesthesia's here to facilitate,Request,
110,0:09:18,"** towards you, look at the screen",Command,
111,0:09:21,You wanna push out,Request,
112,0:09:21,Right here,Report,
113,0:09:23,The body shop,Request,
114,0:09:24,Yeah,Report,
115,0:09:24,Right there,Report,
116,0:09:27,Perfect,Report,
117,0:09:30,Is it tight,Request,
118,0:09:31,Yes it's tight you can't push,Report,
119,0:09:33,What size are you having been doing,Request,
120,0:09:34,"This is 4.0, I have a 3.50, -- would you be able to help me please",Request,
121,0:09:37,"What I understand is good for you but trouble passing, so you're gonna try a smaller",Command,
122,0:09:40,Yes --,Report,
123,0:09:41,And you have anesthesia to facilitate,Report,
,,,,
132,0:10:03,We're currently working on intubating him,,
,,,,
187,0:12:18,Can you get a 3.0 ready,,
188,0:12:19,"Okay, what I'd like to do is see what his direct is",,
189,0:12:24,Another attempt at the airway with anesthesia,,
190,0:12:37,"So guys I just wanna take stock of where we're at, we're now 5 doses of epi, we're still working on securing an airway",,
,,,,
212,0:14:00,"Fourth attempt at the airway, with a 3.0, anesthesia",,
,,,,
,,,,
170438,,,,
5,(00:32:50),We need to secure the airway please and intubate her. Deep breath in,,
6,(00:32:54),"No, don't intubate her yet. Listen for breath sounds",,
,,,,
45,(00:35:29),3 go ahead and get ready to intubate her,,
56,(00:35:50),So continue the exposure and continue the secondary survey in spots where you're not gonna interrupt their intubation,,
,,,,
107,(00:39:51),"Okay patient is intubated, 3% saline to go in",,
108,(00:39:55),"Goal end-tidal should be about 40, guys. Goal end-tidal of 40.",,
109,(00:40:00),"Respiratory, we'd like end-tidals of 40.",,
,,,,
112,(00:40:12),17,,
113,(00:40:12),17,,
117,(00:40:34),End-tidals are too low,,
118,(00:40:35),Too high,,
119,(00:40:35),"Whenever we get a chance, we just need to know the tube size and where it's at",,
120,(00:40:39),"5, 5, 17, at the teeth",,
121,(00:40:41),"5, 5, 17, at the teeth?",,
122,(00:40:44),Yes,,
,,,,
141,(00:42:06),He hasn't gotten up there cause they're securing the airway,,
142,(00:42:09),"Yep, almost done",,
,,,,
158,(00:43:17),"When you secure the airway, let's elevate the head of the bed",,
159,(00:43:37),Is your airway secure? We need to move on.,,
160,(00:43:39),"Tube is secure, yeah",,
161,(00:43:40),Okay let's go,,
,,,,
,,,,
170421,,,,
8,(00:09:18),"Okay, airway is intubated.",,
9,(00:09:22),Is the tube in place? Can we confirm the tube is in place?,,
