,Time,Speech,,Observation by Code,Common words,General Observation,,,,,,,,,,,,,,,,,
,,,,,"Before - turn, roll, on my count, one two three, back, exam, hurts","Back exam starts with asking for log roll on count ""one, two, three"". Once the patient is turned, if the patient is conscious, they are told that a back examination is being done. They start going down on patient's back continuously asking ""does this hurt?"" at the location of palpation. The patient responds. Sometimes, they also mention what area they are palpating. Finally, for the rectal exam, they mention ""you are going to feel a pressure in your bottom"" or ""we are doing a rectal exam"". Results of back exam and rectal exam are both reported",,,,,,,,,,,,,,,,,
,,,,,"During - hurt, does it hurt, rectal exam, rectal tone, pressure, bottom, squeeze, finger, spine, press, up and down, lower thoracic",,,,,,,,,,,,,,,,,,
,,,,,"After - roll back, count, one two three, gross, rectal, blood, reduced, rectal tone, ecchymosis, step offs, vault, prostate, tenderness",,,,,,,,,,,,,,,,,,
160746,,,,,,,,,,,,,,,,,,,,,,,
,0:19:35,No other deformity on the back.,During,,,,,,,,,,,,,,,,,,,,
,0:19:38,No lacerations.,During,,,,,,,,,,,,,,,,,,,,
,0:19:39,No [step offs].,During,,,,,,,,,,,,,,,,,,,,
,0:20:32,Sorry you said there was a bender in the back there?,During,,,,,,,,,,,,,,,,,,,,
,0:20:33,He said there was a ahh contusion.,During,,,,,,,,,,,,,,,,,,,,
,0:20:35,Contusion ok.,During,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
160819,,,,,,,,,,,,,,,,,,,,,,,
,0:28:45,Let's just do a quick log roll,Before,,,,,,,,,,,,,,,,,,,,
,0:28:58,"Log roll, back down, switch out collar. Then lateral C-spine, chest […] do",During,,,,,,,,,,,,,,,,,,,,
,0:30:11,"Your back, does your back hurt?",During,,,,,,,,,,,,,,,,,,,,
,0:30:16,Does it hurt here?,During,,,,,,,,,,,,,,,,,,,,
,0:30:22,"Okay, okay let's do the roll. One, two, three",During,,,,,,,,,,,,,,,,,,,,
,0:30:26,No stepoff deformities. He's got very superficial abrasion on the right upperback,After,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
160621,,,,,,,,,,,,,,,,,,,,,,,
,0:21:20,"Alright can, when you guys are done with the IV can we roll him and check the back, get him off the board?",Before - before,,,,,,,,,,,,,,,,,,,,
,0:21:26,Sir yes sir.,Before - before,,,,,,,,,,,,,,,,,,,,
,0:21:28,Ok get ready to roll please.,Before- before,,,,,,,,,,,,,,,,,,,,
,0:21:33,Nurse left. Whenever you are ready just let me know.,Before -before,,,,,,,,,,,,,,,,,,,,
,0:21:35,"On you, ready?",Before - before,,,,,,,,,,,,,,,,,,,,
,0:21:37,1 2 3 roll to nurse left.,During,,,,,,,,,,,,,,,,,,,,
,0:21:39,Just off the board. Just off the board first then check.,During,,,,,,,,,,,,,,,,,,,,
,0:21:54,"Ok no spine, stable.",During,,,,,,,,,,,,,,,,,,,,
,0:21:59,Any bruising?,During - after,,,,,,,,,,,,,,,,,,,,
,0:22:00,"No bruises or, ahh, scar or birthmark is, ahh, right at the thigh.",During - after,,,,,,,,,,,,,,,,,,,,
,0:22:15,Your count sir?,After,,,,,,,,,,,,,,,,,,,,
,0:22:16,"Ok on 3 we are going to roll back to search for resin, 1 2 3 roll.",After,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
